Місцевий час в Харкові (аеропорт),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
20.06.2017 06:00,17.2,743.9,757.5,0.0,74,"Вітер, що дме із заходу-північного заходу",2,,,хмар немає, ,,,,,,,,,,10.0,12.5,,,,,,
20.06.2017 03:00,17.3,743.9,757.5,-0.2,68,"Вітер, що дме із заходу-північного заходу",2,,,40%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",40%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,11.2,,,,,,
20.06.2017 00:00,20.3,744.1,757.6,-0.1,60,"Вітер, що дме із заходу-північного заходу",2,,,"90  або більше, але не 100 %", ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.","90  або більше, але не 100 %","2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,12.3,,,,,,
19.06.2017 21:00,22.6,744.2,757.6,-0.1,45,"Вітер, що дме з південного заходу",2,,,50%., ,,,,27.0,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",50%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,10.0,,,,,,
19.06.2017 18:00,25.4,744.3,757.5,-0.7,31,"Вітер, що дме із заходу-північного заходу",3,,,70 – 80%., ,,,,,"Шарувато-купчасті, що утворилися з купчастих.",70 – 80%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,6.8,,,,,,
19.06.2017 15:00,24.8,745.0,758.2,-0.8,31,"Вітер, що дме з північного заходу",4,,,70 – 80%., ,,,,,"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.",60%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,6.3,,,,,,
19.06.2017 12:00,25.4,745.8,759.1,-0.6,30,"Вітер, що дме з півночі",2,,,60%., ,,,,,"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.",60%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,6.7,,,,,,
19.06.2017 09:00,21.8,746.4,759.8,-0.2,50,"Вітер, що дме із заходу",2,,,хмар немає, ,,,12.3,,,,,,,10.0,11.0,,,,,,
19.06.2017 06:00,14.5,746.6,760.4,0.0,77,"Вітер, що дме із заходу-північного заходу",1,,,хмар немає, ,,,,,,,,,,10.0,10.5,,,,,,
19.06.2017 03:00,13.8,746.6,760.4,-0.1,80,"Вітер, що дме із заходу-північного заходу",2,,,хмар немає, ,,,,,,,,,,10.0,10.4,,,,,,
19.06.2017 00:00,18.3,746.7,760.3,0.2,56,"Штиль, безвітря",0,,,50%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",50%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,9.4,,,,,,
18.06.2017 21:00,20.4,746.5,760.0,0.8,45,"Вітер, що дме з півночі-північного сходу",3,,,50%., ,,,,25.7,"Шарувато-купчасті, що утворилися з купчастих.",20–30%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,7.9,,,,,,
18.06.2017 18:00,24.8,745.7,759.0,-0.2,29,"Вітер, що дме з півночі",3,,,40%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",20–30%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,5.4,,,,,,
18.06.2017 15:00,25.1,745.9,759.1,-0.5,27,"Вітер, що дме з півночі-північного заходу",3,,,60%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",50%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,4.7,,,,,,
18.06.2017 12:00,24.1,746.4,759.7,0.5,34,"Вітер, що дме з півночі",5,,,50%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",50%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,7.1,,,,,,
18.06.2017 09:00,21.6,745.9,759.4,0.6,43,"Вітер, що дме з північного сходу",4,,,20–30%., ,,,13.0,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,8.4,,,,,,
18.06.2017 06:00,15.2,745.3,759.0,0.3,81,"Вітер, що дме з півночі",1,,,20–30%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,11.9,,,,,,
18.06.2017 03:00,14.1,745.0,758.8,0.5,91,"Вітер, що дме з північного заходу",2,,,40%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",40%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,12.6,,,,,,
18.06.2017 00:00,16.2,744.5,758.2,0.5,81,"Вітер, що дме з північного заходу",2,,,60%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",60%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,13.0,,,,,,
17.06.2017 21:00,18.2,744.0,757.6,0.7,63,"Штиль, безвітря",0,,,70 – 80%.,Стан неба в загальному не змінився. ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,,24.9,"Шарувато-купчасті, що утворилися не з купчастих.",20–30%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,11.1,Сліди опадів,12,,,,
17.06.2017 18:00,22.1,743.3,756.7,-0.2,49,"Вітер, що дме з півдня-південного заходу",3,,,70 – 80%., ,,,,,"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.",50%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,10.7,,,,,,
17.06.2017 15:00,20.5,743.5,757.0,0.1,55,"Вітер, що дме з південного заходу",6,,,70 – 80%., ,,,,,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.",60%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,11.1,,,,,,
17.06.2017 12:00,23.3,743.4,756.7,0.1,36,"Вітер, що дме із заходу-північного заходу",3,,,70 – 80%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",50%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,7.5,,,,,,
17.06.2017 09:00,20.5,743.3,756.7,-0.1,47,"Вітер, що дме з півночі",1,,,40%., ,,,12.0,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,8.8,,,,,,
17.06.2017 06:00,14.7,743.4,757.1,-0.2,69,"Штиль, безвітря",0,,,20–30%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,9.1,,,,,,
17.06.2017 03:00,14.1,743.6,757.3,-0.5,70,"Вітер, що дме з півдня-південного заходу",1,,,70 – 80%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",70 – 80%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,8.6,,,,,,
17.06.2017 00:00,13.4,744.1,757.9,0.0,72,"Вітер, що дме з південного сходу",1,,,40%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",40%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,8.4,,,,,,
16.06.2017 21:00,17.8,744.1,757.7,0.0,54,"Вітер, що дме з південного заходу",1,,,50%., ,,,,22.0,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",50%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,8.3,,,,,,
16.06.2017 18:00,21.3,744.1,757.5,-0.3,35,"Вітер, що дме із заходу-північного заходу",5,,,60%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",20–30%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,5.2,,,,,,
16.06.2017 15:00,20.6,744.4,757.9,-0.1,38,"Вітер, що дме із заходу",5,,,70 – 80%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",70 – 80%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,5.6,,,,,,
16.06.2017 12:00,19.7,744.5,758.0,-0.2,37,"Вітер, що дме із заходу-північного заходу",5,,,60%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",60%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,4.7,,,,,,
16.06.2017 09:00,16.7,744.7,758.3,0.2,54,"Вітер, що дме із заходу",3,,,20–30%., ,,,9.2,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,7.4,,,,,,
16.06.2017 06:00,10.5,744.5,758.5,-0.1,90,"Вітер, що дме із заходу",2,,,60%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",60%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,8.9,,,,,,
16.06.2017 03:00,10.7,744.6,758.5,0.2,81,"Вітер, що дме із заходу-північного заходу",2,,,60%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,7.6,,,,,,
16.06.2017 00:00,12.9,744.4,758.2,0.3,74,"Вітер, що дме із заходу",4,,,60%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",40%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,8.3,,,,,,
15.06.2017 21:00,15.2,744.1,757.9,0.8,72,"Вітер, що дме із заходу",3,,,70 – 80%.,Стан неба в загальному не змінився. ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,,17.5,"Шарувато-купчасті, що утворилися не з купчастих.",40%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,10.1,3.0,12,,,,
15.06.2017 18:00,17.5,743.3,756.9,0.4,58,"Вітер, що дме із заходу-північного заходу",5,,,"90  або більше, але не 100 %",Стан неба в загальному не змінився. ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,,,"Шарувато-купчасті, що утворилися не з купчастих.",40%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,9.1,,,,,,
15.06.2017 15:00,13.5,742.9,756.7,0.9,88,"Вітер, що дме з півночі-північного сходу",3,,,"90  або більше, але не 100 %",Зливовий (і) дощ (і) слабкий (і) у термін спостереження або за останню годину. ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,,,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.","90  або більше, але не 100 %",600-1000,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,11.6,3.0,6,,,,
15.06.2017 12:00,13.4,742.0,755.8,1.0,93,"Вітер, що дме з північного заходу",3,,,"90  або більше, але не 100 %",Зливовий (і) дощ (і) слабкий (і) у термін спостереження або за останню годину. ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,,,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.","90  або більше, але не 100 %",300-600,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,12.3,,,,,,
15.06.2017 09:00,15.2,741.0,754.6,0.8,80,"Вітер, що дме із заходу",4,,,"90  або більше, але не 100 %", ,,,11.7,,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.","90  або більше, але не 100 %",600-1000,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,11.7,Сліди опадів,12,,,,
15.06.2017 06:00,13.1,740.2,754.0,0.3,88,"Вітер, що дме із заходу-північного заходу",3,,,"90  або більше, але не 100 %", ,,,,,"Шаруваті тумановидні або шаруваті розірвані, або ті й інші, але не належать до хмар поганої погоди.",60%.,200-300,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,11.2,,,,,,
15.06.2017 03:00,12.0,739.9,753.7,0.2,87,"Вітер, що дме із заходу-південного заходу",3,,,40%.,Стан неба в загальному не змінився. ,Злива (зливи).,Хмари покривали більше половини неба протягом однієї частини відповідного періоду і половину або менш протягом іншої частини періоду.,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",40%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,9.9,Сліди опадів,6,,,,
15.06.2017 00:00,12.7,739.7,753.4,0.3,85,"Вітер, що дме з південного заходу",2,,,40%.,Стан неба в загальному не змінився. ,Злива (зливи).,Хмари покривали більше половини неба протягом однієї частини відповідного періоду і половину або менш протягом іншої частини періоду.,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",40%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,10.2,,,,,,
14.06.2017 21:00,15.5,739.4,753.0,0.7,73,"Вітер, що дме із заходу-південного заходу",2,,,60%.,Стан неба в загальному не змінився. ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,,22.6,"Шарувато-купчасті, що утворилися з купчастих.",40%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,10.6,Сліди опадів,12,,,,
14.06.2017 18:00,20.2,738.7,752.1,0.0,47,"Вітер, що дме із заходу-північного заходу",5,,,70 – 80%.,Стан неба в загальному не змінився. ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,,,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.",60%.,600-1000,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,8.4,,,,,,
14.06.2017 15:00,18.4,738.7,752.2,-0.3,57,"Вітер, що дме із заходу-північного заходу",5,,,"90  або більше, але не 100 %",Зливовий (і) дощ (і) слабкий (і) у термін спостереження або за останню годину. ,Хмари покривали більше половини неба протягом всього відповідного періоду.,Хмари покривали більше половини неба протягом всього відповідного періоду.,,,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.",70 – 80%.,600-1000,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.",10.0,9.8,,,,,,
14.06.2017 12:00,20.5,739.0,752.4,-0.5,47,"Вітер, що дме із заходу",7,,,70 – 80%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",60%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.",10.0,8.6,,,,,,
14.06.2017 09:00,17.6,739.5,753.0,-0.1,57,"Вітер, що дме із заходу",4,,,70 – 80%., ,,,12.2,,"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.",20–30%.,600-1000,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті кігтевидні або волокнисті або перші і другі, що поширюються по небу і в цілому зазвичай ущільнюються.",10.0,9.0,,,,,,
14.06.2017 06:00,13.3,739.6,753.4,-0.3,80,"Вітер, що дме з південного заходу",3,,,60%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.",10.0,9.8,,,,,,
14.06.2017 03:00,13.2,739.9,753.6,-0.2,76,"Вітер, що дме із заходу-північного заходу",2,,,60%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті щільні у вигляді клоччя або скручених схилів, кількість яких звичайно не збільшується, іноді можуть здаватися залишками верхній частині купчасто-дощових; або перисті баштовидні, або перисті пластівчасті.",10.0,9.1,,,,,,
14.06.2017 00:00,15.5,740.1,753.7,-0.1,62,"Вітер, що дме із заходу-південного заходу",3,,,40%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,8.2,,,,,,
13.06.2017 21:00,17.6,740.2,753.7,1.4,60,"Вітер, що дме із заходу-північного заходу",6,,,70 – 80%., ,,,,24.2,"Шарувато-купчасті, що утворилися з купчастих.",40%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,9.7,Сліди опадів,12,,,,
13.06.2017 18:00,23.6,738.8,752.0,-0.2,40,"Вітер, що дме із заходу",6,,,70 – 80%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",50%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,9.3,,,,,,
13.06.2017 15:00,21.1,739.0,752.3,-0.4,57,"Вітер, що дме із заходу-північного заходу",6,,,"90  або більше, але не 100 %",Гроза (з опадами або без них). ,Гроза (грози) з опадами або без них.,Злива (зливи).,,,"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.","90  або більше, але не 100 %",600-1000,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,12.3,Сліди опадів,6,,,,
13.06.2017 12:00,23.2,739.4,752.6,-0.9,54,"Вітер, що дме із заходу-південного заходу",8,,,"90  або більше, але не 100 %",Стан неба в загальному не змінився. ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",60%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,13.3,,,,,,
13.06.2017 09:00,18.4,740.3,753.7,-0.4,80,"Вітер, що дме з півдня",3,,,"90  або більше, але не 100 %",Зливовий (і) дощ (и). ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,16.4,,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.",50%.,600-1000,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,14.8,0.4,12,,,,
13.06.2017 06:00,16.8,740.7,754.2,-0.7,85,"Вітер, що дме з південного заходу",2,,,"90  або більше, але не 100 %", ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.","90  або більше, але не 100 %","2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,14.2,,,,,,
13.06.2017 03:00,17.3,741.4,754.9,-1.1,76,"Вітер, що дме з південного сходу",2,,,60%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",40%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,12.9,,,,,,
13.06.2017 00:00,18.6,742.5,756.0,-0.5,71,"Вітер, що дме з півдня-південного заходу",3,,,"90  або більше, але не 100 %", ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.","90  або більше, але не 100 %","2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,13.2,,,,,,
12.06.2017 21:00,20.1,743.0,756.4,-0.4,63,"Вітер, що дме з півдня",2,,,"90  або більше, але не 100 %",Стан неба в загальному не змінився. ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,,25.3,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",50%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,12.9,Сліди опадів,12,,,,
12.06.2017 18:00,23.4,743.4,756.7,-0.7,50,"Вітер, що дме з півдня",4,,,70 – 80%., ,,,,,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.",50%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,12.4,,,,,,
12.06.2017 15:00,22.1,744.1,757.5,-0.7,49,"Вітер, що дме із заходу-північного заходу",3,,,"90  або більше, але не 100 %", ,,,,,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.",60%.,1000-1500,"Високо-купчасті, що утворилися з купчастих (або купчасто-дощових).","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,11.0,,,,,,
12.06.2017 12:00,22.7,744.8,758.2,-0.5,42,"Вітер, що дме із заходу",3,,,"90  або більше, але не 100 %", ,,,,,"Купчасто-дощові лисі з купчастими, шарувато-купчастими або шаруватими, або без них.","90  або більше, але не 100 %",1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,9.2,,,,,,
12.06.2017 09:00,20.5,745.3,758.7,-0.2,57,"Вітер, що дме з південного заходу",2,,,20–30%., ,,,11.8,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,11.7,,,,,,
12.06.2017 06:00,13.9,745.5,759.3,-0.3,83,"Вітер, що дме з півдня-південного заходу",1,,,20–30%.,Димка. ,Хмари покривали половину або менш неба протягом усього відповідного періоду.,Хмари покривали половину або менш неба протягом усього відповідного періоду.,,,"Шарувато-купчасті, що утворилися не з купчастих.",20–30%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",7.0,11.1,,,,,,
12.06.2017 03:00,13.0,745.8,759.6,-0.3,85,"Штиль, безвітря",0,,,50%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,10.5,,,,,,
